SecurityCode,StockName
030572,一詮元大41購01
030573,亞航元大3A購04
030574,晶豪科元大3A購05
030575,華立元大3A購05
030576,辛耘元大3B購03
030577,辛耘元大41購01
030578,辛耘元大44購01
030579,健策元大3A購03
03057P,臺股指富邦42售11
030580,臻鼎元大3A購05
030581,崇越元大3A購05
030582,崇越元大3A購06
030583,聯茂元大3A購06
030584,樺漢元大3B購05
030585,矽力元大3B購02
030586,迅得元大3A購04
030587,保瑞元大3A購14
030588,保瑞元大3A購15
030589,保瑞元大3B購03
03058P,臺股指中信3C售12
030590,力智元大3A購04
030591,昇陽半元大3A購01
030592,勤誠元大3A購08
030593,勤誠元大41購01
030594,台汽電元大3A購01
030595,東元群益3A購05
030596,華電群益44購01
030597,華榮群益44購01
030598,大亞群益3A購06
030599,宏泰群益42購01
03059P,T50正2永豐3C售02
030600,第一銅群益3A購03
030601,川湖群益3A購10
030602,三陽群益3A購02
030603,長榮鋼群益3C購02
030604,台達電群益42購03
030605,華通群益3A購09
030606,鴻準群益3A購02
030607,大同群益3A購06
030608,大同群益3C購02
030609,大同群益3C購03
03060P,台灣50元富3C售08
03060X,元展55
030610,台光電群益3A購06
030611,飛宏群益3B購02
030612,一詮群益3C購03
030613,國產群益3C購01
030614,冠德群益3A購02
030615,冠德群益3B購01
030616,冠德群益3C購01
030617,華固群益3A購01
030618,華固群益3C購01
030619,慧洋群益43購01
03061P,台灣50元富3C售09
030620,大立光群益3A購05
030621,奇鋐群益3A購11
030622,緯創群益3C購10
030623,弘憶股群益3C購01
030624,京鼎群益3B購02
030625,創意群益3A購17
030626,辛耘群益3A購07
030627,辛耘群益3B購07
030628,洋華群益3B購01
030629,上緯控群益44購02
03062P,台灣50國票3C售02
030630,定穎控群益3A購03
030631,瑞智群益3A購01
030632,材料群益3A購12
030633,新唐群益3C購01
030634,天鈺群益3A購05
030635,崇越群益3C購01
030636,隆大群益3A購01
030637,聯茂群益3C購03
030638,緯穎群益3A購12
030639,勤誠群益3A購04
03063P,T50正2國票41售02
030640,世紀鋼群益3C購04
030641,力積電中信3A購01
030642,光寶科永豐3B購02
030643,台積電永豐42購03
030644,台積電永豐42購04
030645,大同永豐3A購07
030646,一詮永豐3C購01
030647,信邦永豐3A購02
030648,牧德永豐3B購02
030649,辛耘永豐3A購05
03064P,台積電國票3C售06
030650,日月光永豐42購01
030651,台積電凱基3B購01
030652,金像電兆豐44購01
030653,勤美國泰3C購01
030654,光寶科國泰3C購02
030655,台積電國泰3C購06
030656,台積電國泰3C購07
030657,海悅國泰3C購01
030658,南亞科國泰3C購01
030659,國產國泰3C購01
03065P,台積電國票41售06
030660,冠德國泰3C購02
030661,慧洋國泰3C購02
030662,奇鋐國泰3C購03
030663,緯創國泰3C購02
030664,玉晶光國泰3C購02
030665,視陽國泰3C購02
030666,寶成國泰3C購01
030667,國企2X國票3A購01
030668,國企2X國票3B購01
030669,大亞國票3B購03
03066P,鉅祥國票3C售02
030670,大亞國票3B購05
030671,上銀國票3B購01
030672,楠梓電國票3B購03
030673,鴻海國票3B購04
030674,台積電國票3A購09
030675,台積電國票3A購10
030676,台積電國票3A購11
030677,台積電國票3B購03
030678,金像電國票3B購02
030679,長榮國票42購01
03067P,洋華國票41售02
030680,新興國票3B購01
030681,中航國票3B購01
030682,智原國票3B購01
030683,創意國票3B購01
030684,瑞智國票3B購02
030685,南電國票42購01
030686,臺股指國票3A購06
030687,臺股指國票3A購07
