SecurityCode,IndustryCode,CompanyName,SpecialShares,NormalShares,PrivateShares
2945,18,三商家購股份有限公司,0,67500000,0
3002,25,歐格電子股份有限公司,0,102000000,0
3003,28,健和興端子股份有限公司,0,155654890,0
3004,10,豐達科技股份有限公司,0,55905455,0
3005,25,神基控股股份有限公司,0,622478650,0
3006,24,晶豪科技股份有限公司,0,286172238,0
3008,26,大立光電股份有限公司,0,133468197,0
3010,29,華立企業股份有限公司,0,259436817,0
3011,28,今皓實業股份有限公司,0,129646851,12427600
3013,25,晟銘電子科技股份有限公司,0,205138930,0
3014,24,聯陽半導體股份有限公司,0,166020124,0
3015,28,全漢企業股份有限公司,0,187261950,0
3016,24,嘉晶電子股份有限公司,0,288541819,0
3017,25,奇鋐科技股份有限公司,0,390712757,0
3018,31,隆銘綠能科技工程股份有限公司,0,75377715,43295564
